id,created_at,device_id,temperature,humidity
111,2025-10-27 14:04:38.598979+00,1,20.9,46
112,2025-10-27 14:04:47.758525+00,1,20.9,46
113,2025-10-27 14:04:56.97254+00,1,20.9,46
114,2025-10-27 14:05:06.468121+00,1,20.9,46
115,2025-10-27 14:05:15.767808+00,1,20.9,46
116,2025-10-27 14:05:25.304616+00,1,20.9,46
117,2025-10-27 14:05:34.849952+00,1,20.9,46
118,2025-10-27 14:05:44.138661+00,1,20.9,46
119,2025-10-27 14:05:53.405153+00,1,20.9,46
120,2025-10-27 14:06:02.533075+00,1,20.9,46
121,2025-10-27 14:06:11.849888+00,1,20.9,46
122,2025-10-27 14:06:21.001523+00,1,20.9,46
123,2025-10-27 14:06:30.505823+00,1,20.9,46
124,2025-10-27 14:06:39.775344+00,1,20.9,46
125,2025-10-27 14:06:49.001101+00,1,20.9,46
126,2025-10-27 14:06:58.325895+00,1,20.9,46
127,2025-10-27 14:07:07.664733+00,1,20.9,46
128,2025-10-27 14:07:16.999336+00,1,20.9,46
129,2025-10-27 14:07:26.986386+00,1,20.9,46
130,2025-10-27 14:07:36.392735+00,1,20.9,46
131,2025-10-27 14:07:45.786187+00,1,20.9,46
132,2025-10-27 14:09:23.378084+00,1,20.9,46
133,2025-10-27 14:09:33.23516+00,1,20.9,46
134,2025-10-27 14:09:42.876975+00,1,20.9,46
135,2025-10-27 14:09:52.243522+00,1,20.9,46
136,2025-10-27 14:10:01.998999+00,1,20.9,46
137,2025-10-27 14:10:11.469641+00,1,20.9,46
138,2025-10-27 14:13:02.06435+00,1,20.9,46
139,2025-10-27 14:13:13.008201+00,1,20.9,46
140,2025-10-27 14:13:22.469829+00,1,20.9,46
141,2025-10-27 14:13:32.095381+00,1,20.9,46
142,2025-10-27 14:13:52.751744+00,1,20.9,46
143,2025-10-27 14:14:02.305298+00,1,20.9,46
144,2025-10-27 14:14:11.720315+00,1,20.9,46
145,2025-10-27 14:14:20.914214+00,1,20.9,46
146,2025-10-27 14:14:30.111105+00,1,20.9,46
147,2025-10-27 14:14:39.311901+00,1,20.9,46
148,2025-10-27 14:14:48.742516+00,1,20.9,46
149,2025-10-27 14:14:58.064388+00,1,20.9,46
150,2025-10-27 14:15:07.835119+00,1,20.9,46
151,2025-10-27 14:15:17.222849+00,1,20.9,46
152,2025-10-27 14:15:26.728675+00,1,20.9,46
153,2025-10-27 22:38:31.126817+00,1,20.8,46
154,2025-10-27 22:38:57.892809+00,1,20.8,46
155,2025-10-27 22:41:17.753706+00,1,21.3,55
156,2025-10-27 22:56:27.301669+00,1,21.4,55
157,2025-10-27 23:11:35.833559+00,1,20.3,65
158,2025-10-27 23:26:44.263098+00,1,20.3,64
159,2025-10-27 23:41:52.858951+00,1,20.3,62
160,2025-10-27 23:57:01.340796+00,1,20.2,61
161,2025-10-28 00:12:10.063906+00,1,20.2,60
162,2025-10-28 00:27:18.706348+00,1,20.2,59
163,2025-10-28 00:42:27.373069+00,1,20.2,58
164,2025-10-28 00:57:36.171813+00,1,20.2,58
165,2025-10-28 01:12:44.672827+00,1,20.2,57
166,2025-10-28 01:27:53.050295+00,1,20.2,56
167,2025-10-28 01:43:01.593292+00,1,20.2,56
168,2025-10-28 01:58:10.398558+00,1,21.2,53
169,2025-10-28 02:13:18.879401+00,1,21.4,53
170,2025-10-28 02:28:27.246981+00,1,21.6,53
171,2025-10-28 02:43:35.574652+00,1,21.7,54
172,2025-10-28 02:58:43.831157+00,1,21.8,54
173,2025-10-28 03:13:52.160983+00,1,21.9,55
174,2025-10-28 03:29:00.316016+00,1,22,56
175,2025-10-28 03:44:08.666228+00,1,22.1,56
176,2025-10-28 03:59:17.017746+00,1,22.1,56
177,2025-10-28 04:14:25.29823+00,1,22.2,56
178,2025-10-28 04:29:33.678719+00,1,22.1,56
179,2025-10-28 04:44:41.942404+00,1,22.2,56
180,2025-10-28 04:59:50.185387+00,1,22.1,55
181,2025-10-28 05:14:58.647049+00,1,22.1,56
182,2025-10-28 05:30:07.167076+00,1,22.1,56
183,2025-10-28 05:45:15.682751+00,1,22,56
184,2025-10-28 06:00:24.119141+00,1,22,55
185,2025-10-28 06:15:32.43474+00,1,22.1,56
186,2025-10-28 06:30:40.84996+00,1,22.1,56
187,2025-10-28 06:45:49.165597+00,1,22.1,55
188,2025-10-28 07:00:57.551785+00,1,22.1,56
189,2025-10-28 07:16:06.051618+00,1,22.1,55
190,2025-10-28 07:31:14.26326+00,1,22,56
191,2025-10-28 07:46:22.423907+00,1,22,56
192,2025-10-28 08:01:30.608228+00,1,22,55
193,2025-10-28 08:16:38.772957+00,1,21.9,55
194,2025-10-28 08:31:47.476035+00,1,21.9,55
195,2025-10-28 08:46:55.920015+00,1,21.9,55
196,2025-10-28 09:02:04.040334+00,1,21.9,55
197,2025-10-28 09:17:12.545131+00,1,21.9,55
198,2025-10-28 09:32:20.966763+00,1,21.9,55
199,2025-10-28 09:47:29.146341+00,1,21.9,55
200,2025-10-28 10:02:37.586659+00,1,21.9,55
201,2025-10-28 10:17:45.777186+00,1,21.9,55
202,2025-10-28 10:32:54.036837+00,1,21.9,55
203,2025-10-28 10:48:02.229487+00,1,21.8,55
204,2025-10-28 11:03:10.471638+00,1,21.8,55
205,2025-10-28 11:18:18.626106+00,1,21.8,55
206,2025-10-28 11:33:26.806671+00,1,21.7,54
207,2025-10-28 11:48:35.033589+00,1,20.4,56
208,2025-10-28 12:03:43.489358+00,1,20.2,54
209,2025-10-28 12:18:51.898001+00,1,20,55
210,2025-10-28 12:34:00.054945+00,1,20.2,56
211,2025-10-28 12:49:08.225798+00,1,20,54
212,2025-10-28 13:04:16.759274+00,1,20,53
213,2025-10-28 13:19:24.971479+00,1,20,52
214,2025-10-28 13:34:33.180958+00,1,20,52
215,2025-10-28 13:49:41.387727+00,1,20.2,52
216,2025-10-28 14:04:49.576522+00,1,20.1,51
217,2025-10-28 14:19:57.916013+00,1,20,50
218,2025-10-28 14:35:06.197455+00,1,20.1,50
219,2025-10-28 14:50:14.245456+00,1,19.9,49
220,2025-10-28 15:05:22.508653+00,1,19.8,49
221,2025-10-28 15:20:30.690498+00,1,20.4,49
222,2025-10-28 15:35:38.868914+00,1,20.8,49
223,2025-10-28 15:50:46.886422+00,1,20.9,49
224,2025-10-28 16:05:55.02166+00,1,21,48
225,2025-10-28 16:21:03.321999+00,1,21.1,48
226,2025-10-28 16:36:11.416985+00,1,21.1,48
227,2025-10-28 16:51:19.510241+00,1,21.1,48
228,2025-10-28 17:06:27.763979+00,1,21.1,49
229,2025-10-28 17:21:36.153372+00,1,21.2,49
230,2025-10-28 17:36:44.516677+00,1,21.2,50
231,2025-10-28 17:51:52.799986+00,1,21.2,50
232,2025-10-28 18:07:01.261554+00,1,21.2,50
233,2025-10-28 18:22:09.363586+00,1,21.3,50
234,2025-10-28 18:37:18.79363+00,1,21.2,49
235,2025-10-28 18:52:26.841178+00,1,21.3,49
236,2025-10-28 19:07:34.975714+00,1,21.3,49
237,2025-10-28 19:22:43.355662+00,1,21.3,49
238,2025-10-28 19:37:51.571482+00,1,21.3,48
239,2025-10-28 19:52:59.693303+00,1,21.3,55
240,2025-10-28 20:08:08.164875+00,1,21.3,56
241,2025-10-28 20:23:16.377903+00,1,21.3,55
242,2025-10-28 20:38:24.59983+00,1,21.3,53
243,2025-10-28 20:53:33.043299+00,1,21.3,52
244,2025-10-28 21:08:41.352753+00,1,21.3,51
245,2025-10-28 21:23:49.653487+00,1,21.3,50
246,2025-10-28 21:38:57.92154+00,1,21.3,50
247,2025-10-28 21:54:06.113437+00,1,21.3,50
248,2025-10-28 22:09:14.308422+00,1,21.3,50
249,2025-10-28 22:24:22.405998+00,1,21.3,50
250,2025-10-28 22:39:30.480933+00,1,21.3,50
251,2025-10-28 22:54:38.680595+00,1,21.3,49
252,2025-10-28 23:09:46.905652+00,1,21.3,49
253,2025-10-28 23:24:55.076056+00,1,21.3,49
254,2025-10-28 23:40:03.301197+00,1,21.3,49
255,2025-10-28 23:55:11.444095+00,1,21.3,49
256,2025-10-29 00:10:19.914302+00,1,21.3,49
257,2025-10-29 00:25:28.155562+00,1,21.3,49
258,2025-10-29 00:40:36.487165+00,1,21.3,49
259,2025-10-29 00:55:44.719506+00,1,21.3,49
260,2025-10-29 01:10:53.23589+00,1,21.3,50
261,2025-10-29 01:26:01.421963+00,1,21.3,50
262,2025-10-29 01:41:09.827498+00,1,21.3,50
263,2025-10-29 01:56:18.08281+00,1,21.3,51
264,2025-10-29 02:11:26.324035+00,1,21.3,51
265,2025-10-29 02:26:34.57516+00,1,21.3,51
266,2025-10-29 02:41:42.919224+00,1,21.3,52
267,2025-10-29 02:56:51.06578+00,1,21.3,51
268,2025-10-29 03:11:59.449493+00,1,21.3,50
269,2025-10-29 03:27:07.87477+00,1,21.3,50
270,2025-10-29 03:42:16.267056+00,1,21.3,50
271,2025-10-29 03:57:24.463078+00,1,21.3,49
272,2025-10-29 04:12:32.675327+00,1,21.4,49
273,2025-10-29 04:27:40.904574+00,1,21.4,49
274,2025-10-29 04:42:49.288063+00,1,21.4,49
275,2025-10-29 04:57:57.82525+00,1,21.5,49
276,2025-10-29 05:13:06.44421+00,1,21.5,49
277,2025-10-29 05:28:14.729378+00,1,21.5,49
278,2025-10-29 05:43:22.90098+00,1,21.6,49
279,2025-10-29 05:58:31.061175+00,1,21.5,49
280,2025-10-29 06:13:39.169772+00,1,21.6,49
281,2025-10-29 06:28:47.535274+00,1,21.6,49
282,2025-10-29 06:43:56.340137+00,1,21.7,49
283,2025-10-29 06:59:04.694413+00,1,21.6,49
284,2025-10-29 07:14:13.023966+00,1,21.6,49
285,2025-10-29 07:29:21.369392+00,1,21.6,49
286,2025-10-29 07:44:29.639093+00,1,21.6,49
287,2025-10-29 07:59:37.996382+00,1,21.6,49
288,2025-10-29 08:14:46.537714+00,1,21.5,49
289,2025-10-29 08:29:54.631148+00,1,21.5,49
290,2025-10-29 08:45:02.874238+00,1,21.6,49
291,2025-10-29 09:00:11.171073+00,1,21.5,49
292,2025-10-29 09:15:19.367445+00,1,21.6,49
293,2025-10-29 09:30:27.570741+00,1,21.5,49
294,2025-10-29 09:45:35.61857+00,1,21.5,49
295,2025-10-29 10:00:43.818403+00,1,21.5,50
296,2025-10-29 10:15:52.115152+00,1,21.5,50
297,2025-10-29 10:31:00.63946+00,1,21.5,50
298,2025-10-29 10:46:08.951014+00,1,21.5,50
299,2025-10-29 11:01:17.312437+00,1,21.5,51
300,2025-10-29 11:16:25.998594+00,1,21.5,51
301,2025-10-29 11:31:34.438573+00,1,21.5,51
302,2025-10-29 11:46:42.845545+00,1,21.5,50
303,2025-10-29 12:01:51.3984+00,1,21.5,50
304,2025-10-29 12:16:59.776922+00,1,21.5,50
305,2025-10-29 12:32:08.27626+00,1,21.5,50
306,2025-10-29 12:47:17.14985+00,1,21.5,50
307,2025-10-29 13:02:25.683203+00,1,21.5,50
308,2025-10-29 13:17:34.254262+00,1,21.5,51
309,2025-10-29 13:32:42.700349+00,1,21.5,50
310,2025-10-29 13:47:51.101397+00,1,21.4,50
311,2025-10-29 14:02:59.619745+00,1,21.4,50
312,2025-10-29 14:18:08.196121+00,1,21.4,49
313,2025-10-29 14:33:16.881568+00,1,21.4,49
314,2025-10-29 14:48:25.601019+00,1,21.4,49
315,2025-10-29 15:03:34.182345+00,1,21.4,50
316,2025-10-29 15:18:42.70821+00,1,21.4,50
317,2025-10-29 15:33:51.374109+00,1,21.5,54
318,2025-10-29 15:48:59.726049+00,1,21.5,57
319,2025-10-29 16:04:08.304904+00,1,21.5,56
320,2025-10-29 16:19:17.103276+00,1,21.5,55
321,2025-10-29 16:34:25.594341+00,1,21.3,54
322,2025-10-29 16:49:34.078004+00,1,21.4,53
323,2025-10-29 17:04:42.682811+00,1,21.4,53
324,2025-10-29 17:19:51.116043+00,1,21.4,53
325,2025-10-29 17:34:59.419979+00,1,21.4,52
326,2025-10-29 17:50:07.83276+00,1,21.4,52
327,2025-10-29 18:05:16.339307+00,1,21.4,52
328,2025-10-29 18:20:24.633975+00,1,21.4,52
329,2025-10-29 18:35:33.005904+00,1,21.3,51
330,2025-10-29 18:50:41.3081+00,1,21.4,51
331,2025-10-29 19:05:49.869883+00,1,21.4,51
332,2025-10-29 19:20:58.145139+00,1,21.4,51
333,2025-10-29 19:36:06.876987+00,1,21.4,51
334,2025-10-29 19:51:15.51431+00,1,21.4,51
335,2025-10-29 20:06:24.0204+00,1,21.4,51
336,2025-10-29 20:21:32.524638+00,1,21.4,51
337,2025-10-29 20:36:40.849263+00,1,21.3,50
338,2025-10-29 20:51:49.218107+00,1,21.3,51
339,2025-10-29 21:06:57.744256+00,1,21.3,51
340,2025-10-29 21:22:06.249171+00,1,21.4,51
341,2025-10-29 21:37:14.543612+00,1,21.3,51
342,2025-10-29 21:52:22.840297+00,1,21.4,51
343,2025-10-29 22:07:31.027324+00,1,21.4,51
344,2025-10-29 22:22:39.271186+00,1,21.4,51
345,2025-10-29 22:37:47.572315+00,1,21.3,51
346,2025-10-29 22:52:55.818337+00,1,21.3,52
347,2025-10-29 23:08:04.367918+00,1,21.5,52
348,2025-10-29 23:23:12.754488+00,1,21.6,52
349,2025-10-29 23:38:21.145236+00,1,21.6,53
350,2025-10-29 23:53:29.606757+00,1,21.6,53
351,2025-10-30 00:08:38.044834+00,1,21.7,54
352,2025-10-30 00:23:46.522495+00,1,21.8,54
353,2025-10-30 00:38:55.083968+00,1,21.8,54
354,2025-10-30 00:54:03.586032+00,1,21.8,54
355,2025-10-30 01:09:12.229785+00,1,21.8,53
356,2025-10-30 01:24:20.746367+00,1,21.8,51
357,2025-10-30 01:39:29.267543+00,1,21.6,51
358,2025-10-30 01:54:37.83194+00,1,21.5,50
359,2025-10-30 02:09:47.491647+00,1,21.5,49
360,2025-10-30 02:24:56.830733+00,1,21.3,49
361,2025-10-30 02:40:05.42662+00,1,21.3,48
362,2025-10-30 02:55:14.218912+00,1,21.3,48
363,2025-10-30 03:10:23.252979+00,1,21.2,48
364,2025-10-30 03:25:31.877888+00,1,21.1,48
365,2025-10-30 03:40:41.030859+00,1,21.1,47
366,2025-10-30 03:55:51.535874+00,1,21.1,47
367,2025-10-30 04:11:00.154097+00,1,21.1,47
368,2025-10-30 04:26:08.86286+00,1,21.1,47
369,2025-10-30 04:41:17.491573+00,1,21.1,47
370,2025-10-30 04:56:26.662337+00,1,21.1,47
371,2025-10-30 05:27:00.803904+00,1,21.1,47
372,2025-10-30 05:42:09.240827+00,1,21.1,47
373,2025-10-30 05:57:17.919816+00,1,21.1,46
374,2025-10-30 06:27:51.477784+00,1,21.2,46
375,2025-10-30 06:42:59.942154+00,1,21.2,47
376,2025-10-30 06:58:13.71462+00,1,21,52
377,2025-10-30 07:13:25.233962+00,1,21,49
378,2025-10-30 07:28:34.443018+00,1,21,47
379,2025-10-30 07:43:43.517865+00,1,21,46
380,2025-10-30 07:58:52.128897+00,1,21,46
381,2025-10-30 08:14:00.888124+00,1,21,45
382,2025-10-30 08:29:09.474487+00,1,21.1,45
383,2025-10-30 08:44:18.532085+00,1,21,45
384,2025-10-30 08:59:27.616203+00,1,21.1,45
385,2025-10-30 09:14:36.685974+00,1,21.1,44
386,2025-10-30 09:29:45.274598+00,1,21.1,44
387,2025-10-30 09:44:53.772586+00,1,21.1,44
388,2025-10-30 10:00:02.415095+00,1,21,44
389,2025-10-30 10:15:13.321537+00,1,21.1,44
390,2025-10-30 10:45:46.234894+00,1,21.1,44
391,2025-10-30 11:00:54.893617+00,1,21,44
392,2025-10-30 11:16:03.480212+00,1,21.1,44
393,2025-10-30 11:31:11.812607+00,1,21,44
394,2025-10-30 11:46:20.771115+00,1,21.1,44
395,2025-10-30 12:01:31.794616+00,1,21.1,44
396,2025-10-30 12:16:40.336899+00,1,21,44
397,2025-10-30 12:31:51.001842+00,1,21.1,44
398,2025-10-30 12:46:59.830616+00,1,21,43
399,2025-10-30 13:02:12.784933+00,1,21,43
400,2025-11-03 07:38:03.512242+00,1,22.39,22.39
401,2025-11-03 17:11:09.600747+00,1,21.1,48
402,2025-11-03 17:26:18.670984+00,1,21.1,48
403,2025-11-03 17:41:27.703683+00,1,20.6,49
404,2025-11-03 17:56:36.385406+00,1,20.6,50
405,2025-11-03 18:11:45.277705+00,1,20.6,50
406,2025-11-03 18:26:54.171529+00,1,20.5,50
407,2025-11-03 18:42:02.992817+00,1,20.6,50
408,2025-11-03 18:57:11.733781+00,1,20.6,50
409,2025-11-03 19:12:20.152421+00,1,20.7,57
410,2025-11-03 19:27:28.597462+00,1,20.8,54
411,2025-11-03 19:42:36.810219+00,1,20.9,53
412,2025-11-03 19:57:46.301698+00,1,20.9,52
413,2025-11-03 20:12:54.946143+00,1,20.7,52
414,2025-11-03 20:28:03.495654+00,1,20.8,51
415,2025-11-03 20:43:12.111732+00,1,20.7,51
416,2025-11-03 20:58:20.401083+00,1,20.8,51
417,2025-11-03 21:13:28.756251+00,1,20.9,51
418,2025-11-03 21:28:37.320141+00,1,20.8,51
419,2025-11-03 21:43:45.89317+00,1,21,50
420,2025-11-03 21:58:54.452973+00,1,21.3,51
421,2025-11-03 22:14:11.319826+00,1,21.5,52
422,2025-11-03 22:29:20.260608+00,1,21.6,52
423,2025-11-03 22:44:28.637975+00,1,21.6,53
424,2025-11-03 22:59:37.196186+00,1,21.7,53
425,2025-11-03 23:14:47.043842+00,1,21.8,54
426,2025-11-03 23:29:59.124772+00,1,21.9,56
427,2025-11-03 23:45:13.209224+00,1,22,56
428,2025-11-04 00:00:22.218521+00,1,22.1,56
429,2025-11-04 00:15:30.859152+00,1,22.1,57
430,2025-11-04 00:30:41.872017+00,1,22.1,57
431,2025-11-04 00:45:50.232927+00,1,22,57
432,2025-11-04 01:01:01.060022+00,1,21.9,57
433,2025-11-04 01:16:11.964383+00,1,21.9,57
434,2025-11-04 01:31:22.592838+00,1,21.9,57
435,2025-11-04 01:46:31.007722+00,1,21.9,58
436,2025-11-04 02:22:05.389416+00,1,21.9,58
